Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,176.2962962962963,176.2962962962963,175.2777777777778,147.63729246487864,179.40298507462688,173.9454094292804,173.9454094292804,173.08641975308643,172.0245398773006,173.38217338217342,172.41379310344826,165.31049250535332,177.40232312566002,187.36842105263162,187.43455497382197,187.5,179.9610894941634,152.7050610820244,160.84977238239756,133.93258426966293,126.22837370242215,124.17582417582419,129.51841359773374,124.4110275689223,156.8100358422939,159.29648241206033,161.22202056866303,155.23779919179358,150.8180943214629,130.68637803590286,135.91484676087356,141.81560785701646,121.59896840747903,116.0418695228822,106.35021097046413
Albania,158.81561238223418,162.66666666666666,166.00265604249668,169.31216931216932,147.3769168684423,135.36701620591037,159.0677634155895,152.44596131968146,147.5401606425703,149.30875576036865,172.8155339805825,184.28496595075956,190.10017678255744,187.8152451119297,191.37274803349402,187.97227811312317,191.44098963557343,192.34889058913544,192.64043844196513,194.6583164487014,192.2980326496442,190.61662198391417,187.90797217763512,195.71314102564102,195.0053514092044,197.4278890317839,196.63287472845764,194.965034965035,200.0,199.96155324875045,199.9735729386892,197.18444285373417,200.0,200.0,200.0
Arab World,32.231681717892606,28.32908274446683,24.493603122638945,20.38146879859991,18.461099659578352,16.306744567794407,15.210616572730787,15.805435024611096,14.72479920903306,15.019041669231136,14.396143999541113,13.300217685271525,11.463601731452057,10.703655787864678,10.570272684997944,10.094563904551585,10.529229435562401,10.271896790567087,9.553113506368673,9.630075431679348,8.779265049254104,8.994577512671516,7.302553497761571,7.621686921723257,7.517813686469724,8.64573441549096,7.941575711277287,7.927436974310845,6.358529661189072,6.2139257863792405,7.095046511937627,6.497005268216946,6.6356243202183975,6.6986178529841425,5.874276377160421
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,76.28066287211,75.61986662890394,88.21641678784536,85.66379089830944,88.42236356358137,91.22279907213077,85.74577066710201,83.94089048598165,57.54698924319566,51.33535269545248,70.46117461568781,60.50015851407046,69.37599541883645,77.52046251786409,84.83110360115954,80.07759456838022,65.75782797118504,77.49868599408003,71.43436199535209,53.16962232965066,64.72612754470813,82.1683404538645,84.89929309793614,73.48256003477127,60.77971347276993,64.46805888654008,71.02153103332117,56.541451380161064,50.02631492385118,55.55491760923235,53.626370117273254,61.28516846127128,54.464081635662524,58.83265910283034,58.08013591958091
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,27.179368712854647,27.543832185347533,26.04273414230029,22.99534672138139,21.678146075477112,22.834698311883674,23.133983122497487,20.676231533648103,20.677686667534388,19.655702261323615,18.339847167940267,20.213880513108805,19.291630531779845,20.263912372270823,19.567024986690114,18.38488469662336,17.38316175433648,18.085531684182282,15.775898758582494,15.914392492154771,15.591049441543095,14.770918333221857,13.965291277080457,14.667537910367047,14.035362841572903,13.408540510713953,13.686422288776118,11.802666074022858,9.798702447412918,9.491449090623957,10.688261673217207,13.19853332125542,11.17128884782643,14.5588712488132,14.811652112267588
Austria,138.10096153846155,146.03512758604361,146.30519711140047,145.84008386543414,138.5833953387898,141.46129577979974,141.51488277963483,145.02898084044438,148.72998400797525,143.57440748652218,127.83592989289193,125.31834758175405,139.56226596447664,142.90553035759476,137.045921206655,134.35427162999744,127.73360212043154,129.67585525725065,132.93865140404222,135.8535282729154,139.74680161672845,132.49381826518413,132.53055711132342,114.34325352427835,118.68664040808422,114.4993366112542,115.4221485048068,118.51721714687278,118.85032537960954,123.33861117394255,112.94363564099925,109.97527057841154,127.50341937549109,130.2487793536387,133.13418296939687
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
